City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tiksi,71.6872,128.8694,261.59,95,100,5.03,RU,1713817948
83,albany,42.6001,-73.9662,287.36,26,0,1.79,US,1713817794
84,parabel',58.6978,81.4825,263.1,65,89,8.05,RU,1713818424
85,wuxue,29.8506,115.5525,291.03,96,100,2.27,CN,1713818427
86,nogliki,51.8333,143.1667,270.01,96,40,1.79,RU,1713818427
87,tucuma,-0.1833,-50.05,300.31,86,93,2.07,BR,1713818427
88,chapaev,50.2,51.1667,291.23,42,2,3.94,KZ,1713818429
89,manismata,-2.4667,111.0333,297.47,98,94,0.77,ID,1713818429
90,borkum,53.5809,6.6915,280.12,54,82,6.56,DE,1713818430
91,tomatlan,19.9333,-105.25,304.25,41,0,5.63,MX,1713818431
92,portland,45.5234,-122.6762,293.44,40,75,5.66,US,1713818267
93,yuzhno-kurilsk,44.0306,145.8556,275.58,97,100,2.52,RU,1713818432
94,avarua,-21.2078,-159.775,300.18,69,40,4.63,CK,1713817880
95,greymouth,-42.4667,171.2,282.38,83,79,2.76,NZ,1713818434
96,kuloy,61.0305,42.4925,283.2,83,100,5.92,RU,1713818434
97,pisco,-13.7,-76.2167,299.18,65,0,9.77,PE,1713818026
98,malango,-2.9627,119.9001,293.38,99,100,1.05,ID,1713818435
99,revda,56.801,59.9303,280.53,72,55,5.14,RU,1713818436
100,constantia,44.1833,28.65,282.72,82,40,0.7,RO,1713818017
101,nuku'alofa,-21.1333,-175.2,300.34,83,75,4.12,TO,1713818005
102,bealanana,-14.55,48.7333,292.08,98,74,1.26,MG,1713818438
103,metlili chaamba,32.2667,3.6333,292.67,37,0,3.09,DZ,1713818438
104,sal rei,16.1833,-22.9167,295.5,72,12,5.07,CV,1713818438
105,grand falls-windsor,48.9332,-55.6649,281.21,69,67,1.79,CA,1713817975
106,flin flon,54.7682,-101.865,282.06,43,75,2.57,CA,1713818439
107,at taj,24.2049,23.2857,300.46,14,77,5.67,LY,1713818439
108,berdigestyakh,62.0989,126.6992,273.79,100,100,0.75,RU,1713818440
109,hermanus,-34.4187,19.2345,290.02,85,100,1.83,ZA,1713817990
110,cabo san lucas,22.8909,-109.9124,305.32,29,0,4.63,MX,1713817965
111,lebu,-37.6167,-73.65,286.7,71,60,2.22,CL,1713817958
112,fort bragg,35.139,-79.006,290.48,37,40,4.63,US,1713817754
113,afaahiti,-17.75,-149.2833,302.08,82,97,6.69,PF,1713818285
114,gereida,11.2811,25.1414,306.93,22,94,3.03,SD,1713818446
115,mcrae,32.068,-82.9007,292.56,42,33,3.56,US,1713818446
116,port hueneme,34.1478,-119.1951,293.12,87,100,2.57,US,1713818448
117,anloga,5.7947,0.8973,302.39,83,56,7.65,GH,1713818449
118,ribeira grande,38.5167,-28.7,291.37,77,20,5.36,PT,1713818017
119,filadelfia,39.9523,-75.1638,291.21,31,20,3.09,US,1713818262
120,kijang,35.2442,129.2139,285.0,78,100,7.65,KR,1713818450
121,kish,26.5578,54.0194,299.3,65,54,3.09,IR,1713818451
122,tchibanga,-2.85,11.0333,296.61,97,100,1.44,GA,1713818451
123,lidkoping,58.5052,13.1577,273.16,85,10,3.11,SE,1713818452
124,jharsuguda,21.85,84.0333,298.69,50,89,2.07,IN,1713818453
125,weno,7.4515,151.8468,302.12,84,100,2.57,FM,1713818011
126,waingapu,-9.6567,120.2641,298.39,83,100,2.5,ID,1713818455
127,alesund,62.4723,6.1549,279.68,76,75,2.57,NO,1713818181
128,masterton,-40.9597,175.6575,284.32,85,0,1.22,NZ,1713818457
129,rampachodavaram,17.45,81.7667,299.98,64,0,1.33,IN,1713818457
130,sitka,57.0531,-135.33,282.09,61,75,5.14,US,1713818081
131,sinop,41.7711,34.8709,283.11,78,13,2.43,TR,1713818191
132,robore,-18.3333,-59.75,307.2,52,40,5.14,BO,1713818462
133,encruzilhada do sul,-30.5439,-52.5219,290.86,88,100,1.62,BR,1713818440
134,alofi,-19.0595,-169.9187,301.09,78,100,2.57,NU,1713818159
